NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Salvador i Duch, Jordi;Tarragona;ERC;17/08/2023;03/08/2023;Grupo Parlamentario Republicano;28/08/2023;;Doctor en Antropología Social y Cultural  Licenciado en Geografía e Historia  Diplomado en Profesorado EGB Ciencias Sociales.  Postgrado  Premio Extraordinario de Doctorado por la URV   Postgrado en Educación Física  Sindicalista  Esquerra Republicana Catalunya  Libros: Futbol. Metàfora d'una guerra
Sánchez Díaz, María Carmen;Cádiz;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Diplomada en Turismo.  Diputada Congreso Legislaturas VII, VIII, IX y X.  Alcaldesa de Jerez 2015-2023.  Miembro Dirección Grupo Parlamentario Socialista Leg IX y X
Sánchez García, José María;Alicante/Alacant;VOX;17/08/2023;02/08/2023;Grupo Parlamentario VOX;18/08/2023;;Doctor en Derecho. Diplomado en Letras.  Catedrático de Universidad. Juez (Excedente). Abogado
Sánchez Ojeda, Carlos Alberto;Palmas (Las);PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado y con dos hijos.   Natural de Las Palmas de Gran Canaria.   Empresario de 53 años.   Comienzo de actividad empresarial con 23 años.   Actualmente vinculado al sector de los hidrocarburos.   Concejal en el municipio de Santa Brígida desde 1995 a 1999.   Con posterioridad.   Fue consejero del Cabildo de Gran Canaria desde el 2003 al 2015.   Desde 2015 hasta la actualidad, trabajo en el sector privado compaginado con su empresa. 
Sánchez Pérez, César;Alicante/Alacant;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado, una hija.  Licenciado en Sociología.  Alcalde de Calpe 2011-2019.  Diputado Autonómico Corts Valencianes 2007-2015.  Presidente de la Diputación de Alicante 2015- .  Secretario de Transparencia del PP.  Secretario Ejecutivo de Marketing Electoral del PP
Sánchez Pérez-Castejón, Pedro;Madrid;PSOE;17/08/2023;09/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casado y padre 
Doctor en Economía por la Universidad Camilo José Cela.  Máster en Economía de la UE por la Universidad Libre de Bruselas.  Diplomado en Estudios Avanzados en Integración Económica y Monetaria Europea por el Instituto Universitario Ortega y Gasset.  Profesor de Economía en la Universidad Camilo José Cela.  Asesor en el Parlamento Europeo y miembro del Gabinete del Alto Representante de Naciones Unidas en Bosnia Herzegovina.  Presidente del Gobierno desde junio de 2018.  Concejal del Ayuntamiento de Madrid entre 2004 y 2009.  Afiliado al PSOE desde 1993.   Secretario General del PSOE entre 2014 y 2016 y desde 2017"
Sánchez Serna, Javier;Murcia;SUMAR;17/08/2023;14/08/2023;Grupo Parlamentario Mixto;05/12/2023;;"Licenciado en Filosofía. Máster en Sociología aplicada. 
Miembro del Consejo Ciudadano Estatal de Podemos. 
Coordinador autonómico de Podemos Región de Murcia."
Sánchez Sierra, María del Mar;Madrid;PP;17/08/2023;14/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Licenciada en Ciencias de la Información. 
La Voz de Galicia, Xunta de Galicia, Partido Popular, Ministerio de Sanidad y Consejo de Administración CRTVG."
Sánchez Torregrosa, Maribel;Almería;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;"Vive en Huércal-Overa (Almería) desde hace 20 años.  Madre de Pablo. 
Licenciada en Administración y Dirección de Empresas.  
Entre los años 2002 y 2010 trabajó en diferentes empresas privadas. Directora Comercial entre 2008 y 2010 para España y Portugal en multinacional del Packaging.  
Primera Teniente de Alcalde y Concejal de Hacienda y Empresa de Huércal-Overa (2011-2017)  
Senadora por la provincia de Almería (2015-2018)  
Delegada del Gobierno de la Junta de Andalucía en Almería (2019-2022)  
Diputada autonómica en el Parlamento Andaluz (2022-2023)  
Portavoz del PP de Andalucía (2022 hasta la actualidad)
"
Sancho Íñiguez, Herminio Rufino;Teruel;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado, con tres hijos.  Agricultor y ganadero.  Alcalde de Mezquita de Jarque desde 2007.  Diputado a Cortes de Aragón 2015-2019.  Consejero comarcal 2011 a 2015  Secretario General UAGA-Teruel.  Presidente de la Cooperativa COTEGA y OVIARAGÓN.
Santana Aguilera, Ada;Palmas (Las);PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Graduada en Derecho por la Universidad de Las Palmas de Gran Canaria.   Máster universitario en Abogacía por la Universidad de Las Palmas de Gran Canaria.   Abogada.   Secretaria General de las Juventudes Socialistas de Canarias.   Presidenta de la Federación Mujeres Jóvenes, 2019, 2023. 
Santana Perera, Noemí;Palmas (Las);SUMAR;17/08/2023;02/08/2023;Grupo Parlamentario Mixto;05/12/2023;;Licenciada en ADE por la Universidad de Las Palmas de Gran Canaria especialidad Dirección General y Recursos Humanos  Secretaria General de Podemos Canarias hasta 2019   Diputada Parlamento de Canarias 2015-2023   Consejera de Gobierno de Canarias 2019-2023
Santiago Romero, Enrique Fernando;Córdoba;SUMAR;17/08/2023;07/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Casado.  Licenciado en Derecho (UCM).  Máster en Administración y Dirección de Fundaciones (UAM).  Diplomado en Seguridad Social y Derecho Laboral (CEF Madrid)  Diplomado Derecho Extranjería, Asilo y Refugio (UC3M).  Máster en Tributación y Asesoría Fiscal (CEF Madrid).  Secretario General del Partido Comunista de España (PCE).  Secretario de Justicia e Interior de Izquierda Unida
Santos Maraver, Agustín;Madrid;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciado en Filosofía y Letras.   Licenciado en Ciencias Políticas y Sociología.   Curso Relaciones Internacionales, escuela diplomática.   Funcionario de la carrera diplomática. 
Sanz Martínez, Luisa;Valladolid;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Ingeniera informática .  Máster en Investigación en Tecnologías de la Información y las Comunicaciones, Premio Extraordinario Fin de Carrera.  Doctora internacional Cum Laude en Informática.  Profesora de Informática y Analista desarrolladora.  Secretaria de Formación en la Ejecutiva Provincial de Valladolid
Sarrià Morell, Vicent Manuel;Valencia/València;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado con dos hijos.  BUP. COU.  Trabajador en excedencia RTVE-CV.  Responsabilidad orgánica en el PSPV-PSOE.  Diputado a Corts Valencianes 1999-2018  Concejal y Teniente de Alcalde 2011-2015, 2015-2019
Sastre Uyá, Miguel Ángel;Cádiz;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Soltero.  Graduado en Fundamentos de la Arquitectura. Máster habilitante con acreditación NAAB y RIBA para el ejercicio de la profesión.  Arquitecto, articulista de opinión y formación de comunicación verbal.  Coordinador General de Nuevas Generaciones España. Miembro de la Junta Directiva Nacional del Partido Popular.
Sayas López, Sergio;Navarra;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Soltero.  EMBA por IESE Business School (2015-2017)  Licenciado en Filología Hispánica por la Universidad de Navarra  Consultor de formación en IDE (2006-2007)  Parlamentario Foral (2007-2019)  Concejal del Ayuntamiento de Berriozar (2003-2011)  Secretario de Comunicación y Organización de UPN (2013-2015)
Sémper Pascual, Borja;Madrid;PP;17/08/2023;11/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Tres hijos.  Licenciado en Derecho. Título postgrado en gestión pública. Autor de varios libros y colaborador en programas de radio. Director asociado en empresa de servicios profesionales.  Concejal en Irún y San Sebastián hasta 2019. Parlamentario vasco hasta 2020. Vicesecretario Cultura y Sociedad Abierta del Partido Popular.
Senderos Oraá, Daniel;Araba/Álava;PSE-EE (PSOE);17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado. Una hija.  Técnico de mantenimiento en depuración de aguas.  Técnico en Gestión Ambiental.  Master en análisis ambiental, huella de carbono y huella hídrica.  Ex Asesor de Medio Ambiente del Gobierno Vasco (mayo 2017-febrero 2020)  Ex Presidente de la Comisión de Infraestructuras JJGG (abril 2019-febrero 2020)  Ex portavoz de Medio Ambiente del Grupo Socialista en JJGG de Álava (abril 2019-febrero 2020)  Ex-Concejal de Medio Ambiente del Ayuntamiento de Moreda (Álava) (Mayo 2019-Mayo 2023)
Serrada Pariente, David;Salamanca;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Casado. Dos hijas  Licenciado en Sociología (Universidad de Salamanca)  Suficiencia investigadora (Universidad de Salamanca)  Especialista en Derecho Constitucional y Ciencia Política (Centro de Estudios Políticos y Constitucionales)  Experto Universitario en Métodos Avanzados de Estadística Aplicada (UNED)  Secretario de Política Institucional del PSOE de Salamanca
Serrano Martínez, Juan Francisco;Jaén;PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Ingeniero Técnico Industrial Esp. Mecánica.  Executive Master en Operaciones e Innovación Esade.  Alcalde de Bedmar y Garcíez (Jaén).  Trayectoria orgánica: Secretario General de Juventudes Socialistas de la Provincia de Jaén.
Sierra Caballero, Francisco;Sevilla;SUMAR;17/08/2023;14/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciado en Periodismo, Ciencias de la información, UCM.   Experto en Ciencia, Tecnología y Sociedad, UNED.   Máster de Edición, Universidad de Salamanca.   Experto en Metodologías de la Participación, UCM.   Doctor en Ciencias de la Información, UCM.   Catedrático de Teoría de la Comunicación, Universidad de Sevilla.   Cabeza de lista de SUMAR Andalucía por Sevilla.   Fundador del Foro Andaluz de Izquierdas.   Director de la sección de Comunicación y cultura de la Fundación de investigaciones Marxistas FIN.   Ex Presidente de ULEPICC.   Fundador y Presidente de la Confederación de Asociaciones Iberoamericanas Científicas y Académicas en Comunicación.   Experto y consultor de la Comisión Europea en nuevas tecnologías y participación ciudadana.   Programa Urbact. 
Simancas Simancas, Rafael;Madrid;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciado en Ciencias Políticas y Sociología.   Profesor de Ciencias Políticas.   Miembro del Comité Federal del PSOE
Soldevilla Novials, Alba;Barcelona;PSC-PSOE;12/12/2023;12/12/2023;Grupo Parlamentario Socialista;12/12/2023;;Licenciada en Farmacia. Máster en Economía de la Salud y del Medicamento. Especialidad en Industria Famaceutica.  Secretaria de Economía, Trabajo y Formación Profesional del PSC de Terrasa.
Soler Mur, Alejandro;Alicante/Alacant;PSOE;17/08/2023;14/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Divorciado. Un hijo.  Licenciado en Derecho.  Máster en Asesoría jurídica Empresas IE, Abogado Colegiado en el Ilustre Colegio de Abogados de Elche (ICAE), no ejerciente en la actualidad.  Ex Alcalde de Elche 2007-2011.  Diputado Provincial de Alicante 2011-2015.  Concejal del Ayuntamiento de Elche 1995-2007.  Director General SEPES julio 2018-marzo 2019.
Taboadela Álvarez, Obdulia;Coruña (A);PsdeG-PSOE;17/08/2023;11/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Es doctora en Sociología, postgrado en Responsabilidad Social e Innovación Social, y Programa de Liderazgo para la Gestión Pública.  Es profesora titular en la Universidad de A Coruña, siendo especialista en mercado de trabajo, migraciones internacionales y estudios de género.  Ha compaginado su carrera universitaria con distintos cargos de responsabilidad en la esfera política.  Ha sido subdelegada del Gobierno en A Coruña, concejala del Ayuntamiento de A coruña y senadora en la XIII Legislatura.  Hasta ser elegida diputada, ha sido consejera de Educación en la Embajada de España en Polonia.
Tarno Blanco, Ricardo;Sevilla;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casado. Dos hijos.  Directivo de empresa, ha formado parte de diversos consejos de administración.  Diputado nacional (2008-2019).  Diputado autonómico (2000-2008).  Alcalde del Ayuntamiento de Mairena de Aljarafe (2011-2015). 
Tellado Filgueira, Miguel;Coruña (A);PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciado en Ciencias Políticas por la Universidad de Santiago de Compostela Vicesecretario de Organización Territorial del Partido Popular desde 2022, antes Secretario General del Partido Popular de Galicia 2016-2022   Diputado autonómico en Galicia desde 2012 a 2022  Senador por designación autonómica en la XIV Legislatura
Teniente Sánchez, Cristina;Cáceres;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho.   Abogada no ejercicio.   Vicepresidenta y Portavoz del Gobierno de Extremadura 2011-2015.   Consejera de Empleo, Empresa, Innovación 2011-2013.   Consejera de Economía, Comercio, Innovación 2013-2015.   Portavoz Grupo Parlamentario Popular 2015-2023.   Presidenta Grupo Parlamentario Popular 2022-2023.   Militante 1991.   Concejala Hacienda y Turismo del Ayuntamiento de Cáceres 1995.   Secretaria General y portavoz adjunta del Grupo Parlamentario Popular 2003-2011
Tomás Olivares, Violante;Murcia;PP;17/08/2023;04/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Psicología.  Gerente desde 1991 a 2011 de la Federación de Asociaciones en favor de Personas con Discapacidad Plena inclusión.   Diputada en Asamblea Regional de Murcia 2011 2015.   Consejera de Familia e Igualdad de Oportunidades del Gobierno regional 2015-2019 Senadora 2019-2023, portavoz de la Comisión de Políticas Integrales para la Discapacidad.   Miembro del Comité de Apoyo a la Convención de Derechos de Personas con Discapacidad de Cermi. 
Torres Tejada, María;Jaén;PP;10/01/2024;09/01/2024;Grupo Parlamentario Popular en el Congreso;10/01/2024;;"Casada. Una hija 
Licenciada en Derecho y abogada en ejercicio hasta 2014, especializada en derecho laboral.  Concejal en el Ayuntamiento de Bailén desde 2007 hasta la actualidad."
Trenzano Rubio, Marta;Valencia/València;PSOE;17/08/2023;10/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Licenciada en Filología Inglesa.  alcaldesa de Algemesí (2015-2023)
Uriarte Bengoechea, Edurne;Madrid;PP;30/01/2024;30/01/2024;Grupo Parlamentario Popular en el Congreso;30/01/2024;;Catedrática de Ciencia Política de la Universidad Rey Juan Carlos. Antes, Catedrática de la Universidad del País Vasco.  Doctora en Sociología y Ciencia Política de la Universidad Complutense de Madrid.  Licenciada en Sociología y Políticas por la Complutense.  Licenciada en Ciencas de la Información por la Universidad del País Vasco.  Columnista en El Debate.
Valero Morales, Juan Antonio;Málaga;SUMAR;17/08/2023;03/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciado en historia por la Universidad de Málaga.   Experto en planificación de procesos participativos por la Universidad Complutense de Madrid.   Profesor de enseñanza secundaria.   Diputado de sumar por la provincia de Málaga.   Coordinador andaluz de Izquierda Unida.   Padre de 2 hijos. 
Valido García, Cristina;S/C Tenerife;CCa;17/08/2023;02/08/2023;Grupo Parlamentario Mixto;28/08/2023;;Vive en El Rosario, Tenerife  Casada  Técnico especialista en Administración de Empresas  Experta universitaria en Desarrollo Local  Experta universitario en Gestión Pública  Estudió Filosofía y está terminando Grado de Historia  Ha sido concejal del municipio de La Orotava  Consejera y Vicepresidenta del Cabildo Insular de Tenerife  Consejera de Políticas Sociales y Empleo del Gobierno de Canarias  Diputada del Parlamento de Canarias  Previo a su actividad pública fue jefa de administración en empresa constructora, trabajó en medios de comunicación de televisión y radio.
Vallugera Balañà, Pilar;Barcelona;ERC;17/08/2023;10/08/2023;Grupo Parlamentario Republicano;28/08/2023;;"Licenciada en Derecho por la UB.  Personal al servicio de la Administración de la Generalitat desde 1986 en excedencia. 
Regidora y portavoz de ERC en el Ajuntament de Barcelona de 2003 a 2007."
Vaquero Montero, Maribel;Gipuzkoa;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Casada, madre de 2 hijos.   Licenciada en Derecho, posgrado en Administración pública.   Concejal del Ayuntamiento de Urnieta, 1995-2019.   Parlamentaria Parlamento Vasco, 2007-2015.   Directora de Derechos Humanos y Convivencia de la Diputación Foral de Gipuzkoa, 2015-2019.   Senadora, 2019-2023. 
Varela Pazos, Marta;Madrid;PP;17/08/2023;16/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciatura en periodismo por la Universidad de Santiago.  Periodista en Cadena COPE y Europa Press (2004-2009). Asesora en la Xunta de Galicia (2009-2023). Jefa de Prensa del Presidente de la Xunta (2013-2020). Directora de Gabinete de la Presidencia de la Xunta (2020-2022). Directora de Gabinete del Presidente del Partido Popular (2022-2023).
Vázquez Blanco, Ana Belén;Ourense;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho.  Funcionaria  Ex Alcaldesa de Bande.  Miembro del Comité Ejecutivo Nacional del Partido Popular, Secretaria Nacional de Interior del PP.
Vázquez Jiménez, María del Mar;Málaga;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Casada, con una hija. Licenciada en medicina y cirugía. Especialista en Medicina Familiar y Comunitaria. Especialista en Medicina Preventiva y Salud Pública. Máster en Salud Pública y Gestión. Máster en Economía de la Salud. Ha desempeñado trabajos como médico y en puesto de gestión sanitaria.
Velarde Gómez, Martina;Granada;SUMAR;17/08/2023;08/08/2023;Grupo Parlamentario Mixto;05/12/2023;;Licenciatura en Derecho  Experto en prácticas jurídicas.  Máster en Prácticas Jurídicas.  CAP (Orientación y formación laboral)  Abogada
Velasco Morillo, Elvira;Zamora;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Grado en Enfermería  Máster Universitario en Derecho Sanitario  Teniente de alcalde en el Ayuntamiento de Fuentesecas (Zamora).  Secretaria Provincial de Mayores del Partido Popular en Zamora  Máster en Administración y Dirección de Servicios Sanitarios por la Universidad Antonio Nebrija (Madrid)  Programa de Alta Dirección en Instituciones Sanitarias impartido por IESE Business School de la Universidad de Navarra
Velasco Retamosa, José Manuel;Toledo;PP;17/08/2023;09/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Doctor en Derecho.  Profesor Titular de Derecho Internacional Privado UCLM.  Diputado Regional Cortes de Castilla-La Mancha Legislatura 2008-2011.  Director General de Universidades de Investigación de la JCCM 2013-2015.  Concejal del Ayuntamiento de Toledo 2015-2019
Verano Domínguez, Bella;Huelva;PP;17/08/2023;02/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Humanidades.   Diplomada en turismo.   Empleada de banca.   12 años Teniente de Alcalde Ayuntamiento de Lepe.   4 años Diputada provincial .   5 años Delegada del Gobierno andaluz en Huelva.   12 años Secretaria General PP de Lepe .   3 años coordinadora PP de Huelva
Verdejo Vicente, Ferran;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Graduado en Ciencias Políticas y Administración Pública por la Universidad de Barcelona  Secretario de Organización de la Joventut Socialista de Catalunya
Vidal Matas, Vicenç;Balears (Illes);SUMAR;17/08/2023;09/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;Licenciado en Ciencias Ambientales. (UAB)  Máster en Gestión de Parques Naturales (UAM).  E.U. Derecho Urbanístico (UIB).  E. U. Cooperación (UIB).  Senador XIV Legislatura.  Conseller Medi Ambient, Agricultura i Pesca (2019-2019).  Discapacidad visual 69%
Vidal Sáez, Aina;Barcelona;SUMAR;17/08/2023;16/08/2023;Grupo Parlamentario Plurinacional SUMAR;28/08/2023;;"Afiliada a Joves d'Esquerra Verda desde 2005. Miembro del Consejo Nacional de ICV. 
Afiliada a Comisiones Obreras, organización donde ha desempeñado diferentes responsabilidades. 
Portavoz de la Comisión del Pacto de Toledo y Portavoz Adjunta de la Comisión de Trabajo y Seguridad Social en la XII Legislatura.
"
Zaragoza Alonso, José;Barcelona;PSC-PSOE;17/08/2023;02/08/2023;Grupo Parlamentario Socialista;28/08/2023;;
