codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
32074,San Amaro,2024,938,100,1,4,677,72.7,0013,ECG,10,8,1.17
32075,San Cibrao das Viñas,2024,4563,100,19,31,3414,75.91,0004,SUMAR,5,13,0.37
32076,San Cristovo de Cea,2024,1831,100,5,10,1371,75.69,0011,VOX,4,21,1.52
32077,Sandiás,2024,1019,100,4,0,702,69.28,0012,PACMA,7,2,0.28
32078,Sarreaus,2024,1004,100,5,6,734,74.2,0006,ESCANOS EN BRANCO,9,3,0.4
32079,Taboadela,2024,1333,100,8,8,928,70.81,0004,SUMAR,5,3,0.32
32080,A Teixeira,2024,303,100,2,2,226,75.9,0004,SUMAR,5,4,1.75
32081,Toén,2024,2008,100,8,8,1530,76.99,0004,SUMAR,5,4,0.26
32082,Trasmiras,2024,1112,100,7,3,781,71.13,0004,SUMAR,5,1,0.12
32083,A Veiga,2024,800,100,0,5,519,65.5,0004,SUMAR,5,3,0.57
32084,Verea,2024,856,100,4,1,617,72.66,0009,PUM+J,11,1,0.16
32085,Verín,2024,10412,100,36,63,6635,64.67,0004,SUMAR,5,23,0.34
32086,Viana do Bolo,2024,2389,100,7,13,1443,61.23,0004,SUMAR,5,8,0.55
32087,Vilamarín,2024,1629,100,9,16,1183,74.15,0004,SUMAR,5,3,0.25
32088,Vilamartín de Valdeorras,2024,1586,100,4,13,909,58.38,0017,DO,6,13,1.42
32089,Vilar de Barrio,2024,1122,100,6,5,761,68.8,0004,SUMAR,5,5,0.65
32090,Vilar de Santos,2024,698,100,3,2,529,76.5,0006,ESCANOS EN BRANCO,9,1,0.18
32091,Vilardevós,2024,1523,100,7,5,1122,74.45,0001,PODEMOS,8,3,0.26
32092,Vilariño de Conso,2024,474,100,3,6,330,71.51,0001,PODEMOS,8,3,0.9
36001,Arbo,2024,2408,100,5,15,1747,73.38,0004,SUMAR,5,26,1.48
36002,Barro,2024,3058,100,19,19,2083,69.35,0006,ESCANOS EN BRANCO,9,4,0.19
36003,Baiona,2024,10294,100,50,76,6875,68.01,0012,PACMA,7,31,0.44
36004,Bueu,2024,10116,100,62,67,6542,65.94,0012,PACMA,7,25,0.37
36005,Caldas de Reis,2024,8032,100,32,67,5469,69.32,0012,PACMA,7,14,0.25
36006,Cambados,2024,11465,100,52,98,8093,71.89,0012,PACMA,7,24,0.29
36007,Campo Lameiro,2024,1539,100,8,16,1034,68.74,0001,PODEMOS,8,2,0.19
36008,Cangas,2024,22314,100,113,135,14564,66.37,0001,PODEMOS,8,60,0.4
36009,A Cañiza,2024,4335,100,6,26,2688,62.74,0012,PACMA,7,10,0.37
36010,Catoira,2024,2800,100,12,23,2025,73.57,0012,PACMA,7,8,0.39
36013,Covelo,2024,2207,100,6,9,1284,58.85,0012,PACMA,7,5,0.38
36014,Crecente,2024,1805,100,4,10,1301,72.85,0012,PACMA,7,6,0.45
36015,Cuntis,2024,3922,100,33,32,2680,69.98,0006,ESCANOS EN BRANCO,9,4,0.14
36016,Dozón,2024,954,100,4,8,688,73.37,0012,PACMA,7,1,0.14
36017,A Estrada,2024,17073,100,87,131,11854,70.7,0012,PACMA,7,31,0.25
36018,Forcarei,2024,2831,100,12,23,1891,68.03,0012,PACMA,7,3,0.15
36019,Fornelos de Montes,2024,1458,100,6,7,901,62.68,0012,PACMA,7,4,0.44
36020,Agolada,2024,2081,100,5,22,1517,74.19,0006,ESCANOS EN BRANCO,9,6,0.39
36021,Gondomar,2024,12623,100,67,105,8165,66.04,0001,PODEMOS,8,36,0.43
36022,O Grove,2024,9041,100,57,88,5692,64.56,0012,PACMA,7,27,0.46
36023,A Guarda,2024,8159,100,30,56,5597,69.65,0001,PODEMOS,8,20,0.35
36024,Lalín,2024,15995,100,82,166,11558,73.81,0012,PACMA,7,29,0.24
36025,A Lama,2024,2211,100,4,5,1288,58.66,0012,PACMA,7,4,0.3
36026,Marín,2024,19939,100,125,138,12235,62.68,0012,PACMA,7,55,0.44
36027,Meaño,2024,4387,100,13,28,3094,71.46,0012,PACMA,7,6,0.19
36028,Meis,2024,4006,100,18,24,2865,72.56,0012,PACMA,7,4,0.13
36029,Moaña,2024,16281,100,104,146,10846,68.15,0001,PODEMOS,8,49,0.44
36030,Mondariz,2024,3869,100,29,34,2565,67.92,0012,PACMA,7,11,0.42
36031,Mondariz-Balneario,2024,588,100,4,5,417,72.44,0001,PODEMOS,8,1,0.23
36032,Moraña,2024,3460,100,16,43,2494,73.78,0001,PODEMOS,8,4,0.15
36033,Mos,2024,12377,100,66,129,8646,71.43,0012,PACMA,7,32,0.36
36034,As Neves,2024,3192,100,7,32,2218,70.7,0012,PACMA,7,12,0.53
36035,Nigrán,2024,15037,100,75,126,9856,66.88,0001,PODEMOS,8,47,0.47
36036,Oia,2024,2576,100,6,25,1834,72.39,0001,PODEMOS,8,6,0.32
36037,Pazos de Borbén,2024,2557,100,12,23,1685,67.26,0012,PACMA,7,17,1
36038,Pontevedra,2024,66798,100,439,381,44734,68.19,0012,PACMA,7,218,0.48
36039,O Porriño,2024,16150,100,84,160,10578,67,0012,PACMA,7,56,0.52
36040,Portas,2024,2410,100,11,25,1660,70.37,0006,ESCANOS EN BRANCO,9,6,0.35
36041,Poio,2024,14104,100,76,73,9099,65.57,0012,PACMA,7,47,0.51
