election,codigo_mun,mun,censo,votantes,part,candidaturas,blancos,nulos,abstenciones,partido,votos,votos_pc
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,EG,33,1.5
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,BNG,95,4.32
1985,15084,Tordoia,4844,NA,NA,2197,0,NA,NA,Otros,101,4.6
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,PP,448,29.28
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,PSG-PSOE,473,30.92
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,CG,384,25.1
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,EG,51,3.33
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,BNG,41,2.68
1985,15086,Trazo,3805,NA,NA,1530,0,NA,NA,Otros,133,8.69
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,PP,522,55.24
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,PSG-PSOE,296,31.32
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,CG,54,5.71
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,EG,20,2.12
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,BNG,5,0.53
1985,15025,Cerdido,1818,NA,NA,945,0,NA,NA,Otros,48,5.08
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,PP,572,44.27
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,PSG-PSOE,537,41.56
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,CG,59,4.57
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,EG,30,2.32
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,BNG,26,2.01
1985,15044,Mañón,2414,NA,NA,1292,0,NA,NA,Otros,68,5.26
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,PP,2981,39.86
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,PSG-PSOE,3011,40.26
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,CG,386,5.16
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,EG,223,2.98
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,BNG,214,2.86
1985,15061,Ortigueira,13356,NA,NA,7479,0,NA,NA,Otros,664,8.88
1985,15002,Ames,6645,NA,NA,4494,0,NA,NA,PP,2437,54.23
1985,15002,Ames,6645,NA,NA,4494,0,NA,NA,PSG-PSOE,1140,25.37
1985,15002,Ames,6645,NA,NA,4494,0,NA,NA,CG,323,7.19
1985,15002,Ames,6645,NA,NA,4494,0,NA,NA,EG,146,3.25
1985,15002,Ames,6645,NA,NA,4494,0,NA,NA,BNG,135,3
